[2024-09-09 10:28:05] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
[2024-09-09 13:15:59] | [INFO ] | MongoDB:67 --> Collection 'complaints' has been created!
[2024-09-09 13:15:59] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:15:59] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:15:59] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:16:00] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:16:00] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:16:57] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:16:57] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1917}] to mdb.kiinse.dev:27017
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14732208}
[2024-09-09 13:16:57] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1918}] to mdb.kiinse.dev:27017
[2024-09-09 13:16:57] | [INFO ] | MongoDB:67 --> Collection 'users' has been created!
[2024-09-09 13:16:57] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:16:57] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:16:57] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
